ticker,weight,sector
AXIA3,0.0039191210278887575,Emp. Adm. Part. - Energia Elétrica
TTEN3,0.003913874096603462,"Agricultura (Açúcar, Álcool e Cana)"
MELK3,0.0039101132205523505,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração"
EGIE3,0.0039071748735619236,Energia Elétrica
HYPE3,0.0039002253600988208,Farmacêutico e Higiene
MLAS3,0.003896384149504658,Comunicação e Informática
TCSA3,0.00388954535927641,"Construção Civil, Mat. Constr. e Decoração"
AZEV4,0.00388771041274861,"Construção Civil, Mat. Constr. e Decoração"
SMFT3,0.00388519798701776,Brinquedos e Lazer
EALT4,0.0038709734338280696,Metalurgia e Siderurgia
MTSA4,0.003855171431905466,Metalurgia e Siderurgia
BIOM3,0.0038484311551265802,Farmacêutico e Higiene
FESA4,0.0038422134441180337,Metalurgia e Siderurgia
